name,mass (g),mass(kg),fall,year,decade,long,lat,class_group
Hoba,60000000.0,60000.0,Found,1920.0,1920.0,17.91667,-19.58333,Iron
Cape York,58200000.0,58200.0,Found,1818.0,1810.0,-64.93333,76.13333,Iron
Canyon Diablo,30000000.0,30000.0,Found,1891.0,1890.0,-111.03333,35.05,Iron
Armanty,28000000.0,28000.0,Found,1898.0,1890.0,88.0,47.0,Iron
Gibeon,26000000.0,26000.0,Found,1836.0,1830.0,18.0,-25.5,Iron
Chupaderos,24300000.0,24300.0,Found,1852.0,1850.0,-105.1,27.0,Iron
Mundrabilla,24000000.0,24000.0,Found,1911.0,1910.0,127.55,-30.78333,Iron
Sikhote-Alin,23000000.0,23000.0,Fell,1947.0,1940.0,134.65333,46.16,Iron
Bacubirito,22000000.0,22000.0,Found,1863.0,1860.0,-107.83333,26.2,Iron
Mbosi,16000000.0,16000.0,Found,1930.0,1930.0,33.06667,-9.11667,Iron
Willamette,15500000.0,15500.0,Found,1902.0,1900.0,-122.58333,45.36667,Iron
Nantan,9500000.0,9500.0,Found,1958.0,1950.0,107.7,25.1,Iron
Cranbourne,8600000.0,8600.0,Found,1854.0,1850.0,145.3,-38.1,Iron
Santa Catharina,7000000.0,7000.0,Found,1875.0,1870.0,-48.6,-26.21667,Iron
Brenham,4300000.0,4300.0,Found,1882.0,1880.0,-99.16361,37.5825,Stony-Iron
Jilin,4000000.0,4000.0,Fell,1976.0,1970.0,126.16667,44.05,Stony
Vaca Muerta,3828000.0,3828.0,Found,1861.0,1860.0,-70.5,-25.75,Stony-Iron
Youndegin,3800000.0,3800.0,Found,1884.0,1880.0,117.71667,-32.1,Iron
Al Haggounia 001,3000000.0,3000.0,Found,2006.0,2000.0,-12.5,27.5,Stony
Xifu,3000000.0,3000.0,Found,2004.0,2000.0,120.48333,36.3,Iron
Yingde,3000000.0,3000.0,Found,1964.0,1960.0,113.4,24.2,Iron
Old Woman,2753000.0,2753.0,Found,1976.0,1970.0,-115.23333,34.46667,Iron
Wabar,2550000.0,2550.0,Found,1863.0,1860.0,50.47222,21.49972,Iron
Huckitta,2300000.0,2300.0,Found,1924.0,1920.0,135.76667,-22.36667,Stony-Iron
Navajo,2184000.0,2184.0,Found,1921.0,1920.0,-109.5,35.33333,Iron
Coahuila,2100000.0,2100.0,Found,1837.0,1830.0,-102.73333,28.7,Iron
Allende,2000000.0,2000.0,Fell,1969.0,1960.0,-105.31667,26.96667,Stony
Campinorte,2000000.0,2000.0,Found,1992.0,1990.0,-49.15917,-14.258,Iron
Henbury,2000000.0,2000.0,Found,1931.0,1930.0,133.16667,-24.56667,Iron
Zhaoping,2000000.0,2000.0,Found,1983.0,1980.0,111.18333,24.23333,Iron
Santa Luzia,1918000.0,1918.0,Found,1921.0,1920.0,-47.95,-16.26667,Iron
Ghubara,1750000.0,1750.0,Found,1954.0,1950.0,56.14278,19.22778,Stony
Gebel Kamil,1600000.0,1600.0,Found,2009.0,2000.0,26.08778,22.01833,Iron
Odessa (iron),1600000.0,1600.0,Found,1922.0,1920.0,-102.4,31.71667,Iron
Casas Grandes,1545000.0,1545.0,Found,1867.0,1860.0,-107.8,30.4,Iron
Bitburg,1500000.0,1500.0,Found,1805.0,1800.0,6.53333,49.96667,Iron
Quinn Canyon,1450000.0,1450.0,Found,1908.0,1900.0,-115.53333,38.08333,Iron
Charcas,1400000.0,1400.0,Found,1804.0,1800.0,-101.01667,23.08333,Iron
Santa Apolonia,1316000.0,1316.0,Found,1872.0,1870.0,-98.3,19.21667,Iron
Tsarev,1225300.0,1225.3,Found,1968.0,1960.0,45.7,48.7,Stony
Alkhamasin,1200000.0,1200.0,Found,1973.0,1970.0,44.88333,20.6,Iron
Kouga Mountains,1173000.0,1173.0,Found,1903.0,1900.0,24.0,-33.61667,Iron
